"schema","signature","function_name","identity_arguments","result_type","owner","language","security_definer","volatility","config","grantee","can_execute","runtime_callers","classification","expected","difference"
"app_private","app_private.assert_manager_clinic_assignment_valid()","assert_manager_clinic_assignment_valid","","trigger","postgres","plpgsql","true","v","search_path=public, auth, extensions","anon","false","SEE function-callers inventory; dynamic callers UNKNOWN","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"app_private","app_private.assert_manager_clinic_assignment_valid()","assert_manager_clinic_assignment_valid","","trigger","postgres","plpgsql","true","v","search_path=public, auth, extensions","authenticated","false","SEE function-callers inventory; dynamic callers UNKNOWN","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"app_private","app_private.assert_manager_clinic_assignment_valid()","assert_manager_clinic_assignment_valid","","trigger","postgres","plpgsql","true","v","search_path=public, auth, extensions","PUBLIC","false","SEE function-callers inventory; dynamic callers UNKNOWN","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"app_private","app_private.assert_manager_clinic_assignment_valid()","assert_manager_clinic_assignment_valid","","trigger","postgres","plpgsql","true","v","search_path=public, auth, extensions","service_role","true","SEE function-callers inventory; dynamic callers UNKNOWN","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"app_private","app_private.assert_subscription_org_root_clinic()","assert_subscription_org_root_clinic","","trigger","postgres","plpgsql","true","v","search_path=public, auth, extensions","anon","true","SEE function-callers inventory; dynamic callers UNKNOWN","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"app_private","app_private.assert_subscription_org_root_clinic()","assert_subscription_org_root_clinic","","trigger","postgres","plpgsql","true","v","search_path=public, auth, extensions","authenticated","true","SEE function-callers inventory; dynamic callers UNKNOWN","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"app_private","app_private.assert_subscription_org_root_clinic()","assert_subscription_org_root_clinic","","trigger","postgres","plpgsql","true","v","search_path=public, auth, extensions","PUBLIC","true","SEE function-callers inventory; dynamic callers UNKNOWN","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"app_private","app_private.assert_subscription_org_root_clinic()","assert_subscription_org_root_clinic","","trigger","postgres","plpgsql","true","v","search_path=public, auth, extensions","service_role","true","SEE function-callers inventory; dynamic callers UNKNOWN","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"app_private","app_private.belongs_to_clinic(uuid)","belongs_to_clinic","target_clinic_id uuid","boolean","postgres","plpgsql","true","s","search_path=public, auth, extensions","anon","true","SEE function-callers inventory; dynamic callers UNKNOWN","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"app_private","app_private.belongs_to_clinic(uuid)","belongs_to_clinic","target_clinic_id uuid","boolean","postgres","plpgsql","true","s","search_path=public, auth, extensions","authenticated","true","SEE function-callers inventory; dynamic callers UNKNOWN","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"app_private","app_private.belongs_to_clinic(uuid)","belongs_to_clinic","target_clinic_id uuid","boolean","postgres","plpgsql","true","s","search_path=public, auth, extensions","PUBLIC","true","SEE function-callers inventory; dynamic callers UNKNOWN","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"app_private","app_private.belongs_to_clinic(uuid)","belongs_to_clinic","target_clinic_id uuid","boolean","postgres","plpgsql","true","s","search_path=public, auth, extensions","service_role","true","SEE function-callers inventory; dynamic callers UNKNOWN","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"app_private","app_private.can_access_clinic(uuid)","can_access_clinic","target_clinic_id uuid","boolean","postgres","plpgsql","true","s","search_path=public, auth, extensions","anon","true","SEE function-callers inventory; dynamic callers UNKNOWN","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"app_private","app_private.can_access_clinic(uuid)","can_access_clinic","target_clinic_id uuid","boolean","postgres","plpgsql","true","s","search_path=public, auth, extensions","authenticated","true","SEE function-callers inventory; dynamic callers UNKNOWN","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"app_private","app_private.can_access_clinic(uuid)","can_access_clinic","target_clinic_id uuid","boolean","postgres","plpgsql","true","s","search_path=public, auth, extensions","PUBLIC","true","SEE function-callers inventory; dynamic callers UNKNOWN","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"app_private","app_private.can_access_clinic(uuid)","can_access_clinic","target_clinic_id uuid","boolean","postgres","plpgsql","true","s","search_path=public, auth, extensions","service_role","true","SEE function-callers inventory; dynamic callers UNKNOWN","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"app_private","app_private.custom_access_token_hook(jsonb)","custom_access_token_hook","event jsonb","jsonb","postgres","plpgsql","true","v","search_path=public, auth, extensions","anon","true","SEE function-callers inventory; dynamic callers UNKNOWN","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"app_private","app_private.custom_access_token_hook(jsonb)","custom_access_token_hook","event jsonb","jsonb","postgres","plpgsql","true","v","search_path=public, auth, extensions","authenticated","true","SEE function-callers inventory; dynamic callers UNKNOWN","UNCLASSIFIED","UNDECIDED","UNKNOWN"
